entry_time,exit_time,entry_price,exit_price,qty_btc,notional_eur,sl_price,tp_price,pnl_eur,pnl_pct_of_account,confidence,prob_up,close_reason,bars_held,exit_month,balance_after,gross_gain_eur,gross_loss_eur
2026-01-14 11:00:00,2026-01-14 14:00:00,94706.01,96234.58,0.111999,10607.02,93941.72,96234.58,171.2,1.614,0.6908,0.6908,TAKE_PROFIT,3,2026-01,11336.49,171.2,0.0
2026-01-14 23:00:00,2026-01-15 03:00:00,96932.21,95925.62,0.111105,10769.66,95925.62,98945.39,-111.84,-1.038,0.6704,0.6704,STOP_LOSS,4,2026-01,11224.65,0.0,-111.84
2026-01-15 03:00:00,2026-01-15 09:00:00,95963.02,97046.73,0.11112,10663.42,94886.9,98115.26,120.42,1.129,0.736,0.736,SHORT_SIGNAL_SPOT_EXIT,6,2026-01,11345.08,120.42,0.0
2026-01-15 14:00:00,2026-01-15 16:00:00,96019.61,96797.61,0.112246,10777.82,95275.84,97507.14,87.33,0.81,0.7944,0.7944,SHORT_SIGNAL_SPOT_EXIT,2,2026-01,11432.4,87.33,0.0
2026-01-15 20:00:00,2026-01-16 08:00:00,95143.53,95643.59,0.114152,10860.78,94254.22,96922.16,57.08,0.526,0.8354,0.8354,TIME_EXIT,12,2026-01,11489.49,57.08,0.0
2026-01-16 10:00:00,2026-01-16 15:00:00,95272.91,94821.2,0.114566,10915.01,94821.2,96176.33,-51.75,-0.474,0.6947,0.6947,STOP_LOSS,5,2026-01,11437.73,0.0,-51.75
2026-01-16 15:00:00,2026-01-17 03:00:00,94605.62,95330.21,0.114854,10865.85,94064.61,95687.65,83.22,0.766,0.887,0.887,TIME_EXIT,12,2026-01,11520.96,83.22,0.0
2026-01-21 00:00:00,2026-01-21 05:00:00,88816.97,89813.77,0.12323,10944.91,87849.42,90752.07,122.84,1.122,0.6847,0.6847,SHORT_SIGNAL_SPOT_EXIT,5,2026-01,11643.79,122.84,0.0
2026-01-21 12:00:00,2026-01-21 15:00:00,88647.78,90052.64,0.124781,11061.6,87945.35,90052.64,175.3,1.585,0.8406,0.8406,TAKE_PROFIT,3,2026-01,11819.09,175.3,0.0
2026-01-21 16:00:00,2026-01-21 19:00:00,87585.99,89682.3,0.128196,11228.14,86537.84,89682.3,268.74,2.393,0.9107,0.9107,TAKE_PROFIT,3,2026-01,12087.83,268.74,0.0
2026-01-22 16:00:00,2026-01-22 23:00:00,88906.22,89462.08,0.129163,11483.44,88367.02,89984.61,71.8,0.625,0.756,0.756,SHORT_SIGNAL_SPOT_EXIT,7,2026-01,12159.63,71.8,0.0
2026-01-23 00:00:00,2026-01-23 04:00:00,89503.74,89896.56,0.129063,11551.64,88803.28,90904.66,50.7,0.439,0.7998,0.7998,SHORT_SIGNAL_SPOT_EXIT,4,2026-01,12210.32,50.7,0.0
2026-01-23 06:00:00,2026-01-23 09:00:00,89394.35,88821.17,0.12976,11599.81,88821.17,90540.72,-74.38,-0.641,0.6598,0.6598,STOP_LOSS,3,2026-01,12135.95,0.0,-74.38
